date,anz,cba,mqg,nab,wbc,banks,areit,asx,audusd,comm,dspread,tspread,bills,ivol
20011024,1.401078078,0.5259152,0.424452015,0.792484339,2.460093022,0.983985098,-2.951548965,0.255312531,-1.799735588,-0.724609522,-1,11,-2,32
20011031,2.116500863,4.110621808,1.656633318,1.323655274,0.794737883,2.102935003,2.774582587,0.145244486,-0.256942527,0.601761238,1,-21.5,-8,33.46
20011107,-1.235378352,1.663350019,1.3747667,-1.798229799,1.400573338,0.715795816,1.685134527,0.195696241,1.668177238,-4.033670715,-1,-7,-7,28.8
20011114,5.590445319,0.888147668,-1.475677096,7.621190412,8.896217592,5.173388045,-1.512713641,2.636121098,1.545028803,0.98264969,0,10,8,26.47
20011121,-4.683357548,-3.933198122,0.232379804,-1.287754264,-2.961761192,-2.228844418,-0.057901182,0.160290847,-0.88547258,-0.048926074,-6,51.5,4,24.12
20011128,-0.429022472,-0.430189298,-3.584549244,0.979370084,-4.427226244,-0.382813713,-0.737684913,0.655799771,1.057803882,-1.321117831,6,-11,-2,24
20011205,-0.486930059,-2.578310349,-0.333434683,-1.415897654,0.473464129,-0.989481739,-1.412807949,-0.155328857,-1.542347906,0.836794913,-8.8800000000000000E-14,-8,-5,24.08
20011212,-2.171661802,-1.447849893,-3.88819213,-0.304753361,-1.867997506,-1.110457187,0.634868039,-0.768149482,0.793424578,-2.643170037,57,31,0,25.3
20011219,2.220248128,2.145937222,2.017145584,-2.318929607,2.61421908,0.634775651,-0.251658886,0.068957259,-0.793424578,3.367889971,-8.8800000000000000E-14,-1.5,-2,23.29
20011226,1.270209251,4.093801075,3.981605942,2.800257386,1.949216349,2.633372797,1.761756594,2.071143679,-1.093974575,2.81511513,-5,3.5,3,22.62
20020102,1.233143403,0.566789145,1.146872745,0.86698203,1.410216415,1.045540715,2.26514525,1.626783858,0.37251293,-2.553159087,-8,6,-3,23.8
20020109,-4.108232306,-1.304260745,-3.453464451,-2.261513355,-5.571511364,-3.193153883,-1.910016362,-0.967416354,2.378532317,0.006639709,-1,-4,3,21.83
20020116,1.17950962,5.119087186,2.54265622,2.332259198,2.128721781,2.782938391,0.310814715,0.38825488,-1.346692149,1.368944966,-1,-21,-5,22.7
20020123,-1.191226616,1.787415465,-0.151373521,1.878488794,0.209140971,1.008983101,-1.333453656,-0.107893555,0.944585337,-3.34928737,5,15.5,8,23.61
20020130,2.040164943,3.097076919,-1.261412631,4.768743788,2.338568111,3.047156481,-0.468786852,0.33752179,-2.309661136,0.905182856,3,4,0,24.35
20020206,1.664847952,-2.670040806,-11.02051844,-1.194861194,2.474636952,-0.581349349,0.836165469,-0.240735601,-0.039277298,1.37878673,8,-7,1,25.45
20020213,0.437423336,2.716363911,-3.038130665,3.207708647,1.12847769,2.02496187,0.461098608,1.505757031,-0.039292731,2.298540619,-7,14,1,21.62
20020220,1.152219902,-0.312042337,6.375599132,0.188669263,0.380865702,0.096863122,-0.137018551,-0.921214152,1.83026916,-3.153434178,-2,-8.5,0,24.43
20020227,2.067189181,-0.559045152,-3.714332199,1.955888107,2.443032617,1.248224724,-0.015370211,-0.678622956,-0.872014052,1.202027413,-1,9,1,21.68
20020306,-3.402887631,-2.190883283,-0.253160419,-2.521489592,-3.84882816,-2.578266536,0.368578742,1.379597341,1.084021455,2.364994177,-3,9,1,20.3
20020313,-0.711458502,-0.134665529,0.209325172,0.557736565,-1.817666312,-0.306877194,-0.294167446,0.009225025,0.057742279,3.705228201,-4,22.5,5,19.59
20020320,2.319270717,3.040736846,3.680178263,0.793564771,1.780557713,1.696016621,0.803078182,0.664453503,1.451792452,-0.652715103,1,-21.5,15,18.16
20020327,-1.372299982,-1.126936736,-0.989880673,-0.961035526,-1.438263042,-1.143540512,1.003168022,-1.460289301,0.037921881,1.923437711,-3,-11,10,18.13
20020403,-0.880928545,-1.523335612,-1.031285695,-3.72847758,-3.087455547,-2.392874648,-0.824534286,-0.978579947,0.491680264,0.910774225,5,11.5,-6,19.16
20020410,1.822932343,1.271408666,0.265023676,0.348248302,-0.184996626,0.721461376,0.395188331,0.035780922,0.15080116,-3.570917417,1,-2.5,-7,19.47
20020417,2.174557207,1.378863683,1.704116093,1.269993934,3.313494188,1.837716864,0.83964024,0.714408289,0.563487592,-0.090685818,-4,-8,13,18.11
20020424,3.615886738,1.145648788,-2.845388525,3.711724769,3.394494258,2.811115293,1.035054747,-0.780311793,0.895027418,-1.40858123,-9,-4,4,20.28
20020501,0.602981037,2.040487131,-0.128918858,-0.499069819,1.114752621,0.619663536,0.748084326,-0.384474949,0.037119525,1.027727786,5,-21,-3,21.91
20020508,0.393781642,1.496959599,-4.462388158,0.760803742,-0.656521342,0.618713927,1.534576327,-0.596438966,0.721090302,0.855203048,6,-10,13,21.94
20020515,0.705037532,-3.475976548,-4.90976531,0.815258818,-0.97079906,-0.794851835,-1.661673052,1.07863161,0.789067311,-0.875865294,6,15.5,7,19.35
20020522,0.079241844,-0.771631356,8.246709865,1.621709811,0.697859806,0.907157274,1.706622694,0.503897433,1.936887412,-3.38444027,1,-17.5,6,20.05
20020529,0.235061696,3.502435935,-0.410866452,0.214149608,1.971974848,1.197498209,0.274971507,-0.246863262,0.892385005,-0.411784059,-2,-5,6,20.31
20020605,2.486553126,0.655600948,-4.545525243,1.34755736,0.619692778,1.123662752,-0.016875297,-0.803885084,1.743769416,-2.872345979,-2,-13.5,11,23.89
20020612,2.278998427,3.30567693,-2.021469787,-0.477629852,-0.043642325,2.243703726,1.107544821,-0.371198897,-0.419948124,-1.356613031,-3,-13,-4.5,24.45
20020619,-1.924336286,-2.298861206,0.225025047,-1.626260544,-0.405933256,-1.734639427,0.272531502,-1.448924246,-0.845224261,2.577569242,1,-21,2.5,24.24
20020626,-2.376822933,-3.170657719,0.657647495,-1.740075395,-1.755942254,-2.234598194,-0.715792756,-2.991963828,1.961190507,2.580087773,2,-4,-1,27.84
20020703,-2.06651288,-3.871627213,-7.829596139,-3.450150809,-1.038103298,-2.828140713,0.381416274,0.20501166,-2.706667867,0.827226092,6,16,-2,28.96
20020710,1.550441007,0.943122038,0.493434834,1.288744986,0.266225494,0.79154896,0.090285124,1.255505358,1.397634427,-1.08795977,2,-6,0,30.22
20020717,-1.655982221,-3.050715775,-10.10783876,-0.213857968,1.007684042,-1.205796048,-1.41900233,-3.275634064,-2.400328593,3.618782891,-1,2.5,-4,36.65
20020724,-5.817914022,-4.958675885,-7.434878776,-7.489928084,-4.528563609,-5.600168896,-1.771673891,-3.413274218,-2.79189742,0.110728513,-4,-7,-12,44.92
20020731,1.038684897,5.505506293,3.177612288,5.905591034,-1.413340962,3.440245219,0.686279476,2.262160992,1.360065074,-0.288822202,-12,10,8,31.92
