date,anz,anzw,anzd,anzdiv,cba,cbaw,cbad,cbadiv,mqg,mqgw,mqgd,mqgdiv,nab,nabw,nabd,nabdiv,wbc,wbcw,wbcd,wbcdiv,aba,abaw,abad,abadiv,boq,boqw,boqd,boqdiv,ben,benw,bend,bendiv,banks,areit,asx,audusd,comm,dspread,tspread,bills,ivol
20030822,-0.497069652460524,"26,277,711.188",182868000,0,0.168800152614246,"37,218,790.2",285286000,0,-0.315281710489401,"6,517,627.434",41165000,0,-0.214663971095419,"49,154,227.92",375511000,0,-0.0620334693012481,"28,737,657.13",208607000,0,0.298018766684205,"135,001.0116",792845,0,-0.789965058372033,"704,430.155",6868500,0,-0.22711033019549,"1,076,117.2795",10575100,0,-0.122007988479744,-0.908392763466459,0.299623819780415,-1.0692021820909,0.584309180717746,-0.999999999999979,4.99999999999998,0,17.84
20030825,-0.889961851853727,"26,044,789.441",182868000,0,2.52791564994528,37105968,285286000,1065543,0.347562163341664,"6,540,327.3612",41165000,0,-0.554035822316301,"48,882,657.6",375511000,0,-1.50280869767432,"28,320,843.4",208607000,0,0.59583095836313,"135,807.1208",792845,0,-1.25281888631559,"695,655.422",6868500,0,0.45161028286218,"1,080,978.347",10575100,0,-0.706338782205229,-0.300029155736503,-0.0471398513747445,-0.0153574445514171,-0.329576624096095,0,-1.99999999999996,0,18.55
20030826,-0.335706050479168,"25,957,614.94",182868000,0,-3.64664269754842,"35,786,106.22",285286000,0,-0.0952573230455833,"6,534,138.3792",41165000,0,-1.46125641929284,"48,173,557.32",375511000,0,0.628981849751042,"28,499,523.8",208607000,0,0,"135,807.1208",792845,0,0.571739176229613,"699,637.0205",6868500,0,-1.35674694501899,"1,066,407.451",10575100,0,-0.639759579162202,-0.618248540097888,-0.256835540888822,-0.817338191864148,1.02618998408577,-0.999999999999979,5.49999999999997,0,19.53
20030827,0.948363950530684,"26,204,837.565",182868000,0,-0.386682411282369,"35,648,177.99",285286000,0,-0.378696379167298,"6,509,382.4512",41165000,0,0.904216931481905,"48,611,087.28",375511000,0,1.6785476307879,"28,981,960.88",208607000,0,0,"135,807.1208",792845,0,0.568488893708174,"703,627.0725",6868500,0,0.227053391408649,"1,068,831.8315",10575100,0,0.770332724031597,0.659935518888943,0.403591459893171,-0.248062142707645,0.254709545657938,-1.00000000000007,-4.99999999999998,0,19.49
20030828,-0.836367967672658,"25,986,673.107",182868000,0,-0.458723969919994,"35,485,171.9",285286000,0,-1.59846502230661,"6,406,225.758",41165000,0,-2.73729907360689,"47,298,497.4",375511000,0,-1.42821326898179,"28,570,995.96",208607000,0,0.885930782922539,"137,016.2846",792845,0,-0.113619980481694,"702,832.4435",6868500,0,0.340672575272372,"1,072,474.5555",10575100,0,-1.5366078223904,-0.169855078514836,0.56055790358247,-1.18677220491059,0.108045373497045,-0.999999999999979,0.499999999999989,2.00000000000005,19.13
20030829,-1.9220649662282,"25,491,923.583",182868000,0,-0.887093213703949,"35,171,698.65",285286000,0,1.94646598858155,"6,627,325.567",41165000,0,-0.832868806967646,"46,906,229.16",375511000,0,-2.14927434035559,"27,963,482.6",208607000,0,2.75554828021374,"140,844.2906",792845,0,2.24469907781177,"718,784.198",6868500,0,1.01301805745724,"1,083,402.7275",10575100,0,-1.1483355813489,-1.06335937783566,0.100553406221238,0.532666150572503,-0.666597977803818,-0.999999999999979,-6.99999999999994,-1.00000000000007,18.48
20030901,0.285048628300544,"25,564,645.069",182868000,0,-2.05217244296456,"34,456,979.64",285286000,0,1.62831938815042,"6,736,179.614",41165000,0,-0.937149834365947,"46,468,699.2",375511000,0,-0.576626478252251,"27,802,670.24",208607000,0,5.83507419852722,"146,096.4",792845,"3,240.96",-1.00370579197477,"711,607.1765",9412200,0,0.89307682984181,"1,093,124.8625",10575100,0,-0.94266221895225,-0.851143438739932,0.322045539563298,1.16506172199752,0.262739052847483,0,1.99999999999996,2.00000000000005,18.63
20030902,0.624128674514246,"25,724,693.193",182868000,0,1.15713939933668,"34,858,225.4",285286000,0,-0.561145440960065,"6,698,504.279",41165000,0,0.647281700054947,46770444,375511000,0,1.59377555684976,"28,249,371.24",208607000,0,-6.26028508203467,"137,230.3488",792845,0,-0.224817430605473,"710,009.465",9412200,0,-1.45506455286171,"1,077,335.623",10575100,0,0.893182298346673,-1.17654608840052,0.41701512532839,-0.650761515673809,-0.305585340427506,-0.999999999999979,10.5,0.999999999999979,18.63
20030903,-0.16984823604087,"25,681,029.874",182868000,0,-0.722065464387356,"34,607,446.8",285286000,0,-0.28015482860102,"6,679,645.326",41165000,0,-0.907406901505503,"46,348,001.28",375511000,0,0,"28,249,371.24",208607000,0,-0.146881171132129,"137,029.8144",792845,0,-1.12992507757141,"702,037.8145",9412200,0,1.45506455286171,"1,093,124.8625",10575100,0,-0.501057118488113,0.46453448140209,-0.177552703019757,-0.890005094094948,-0.026282749973916,-1.00000000000007,3.00000000000002,-0.999999999999979,19.02
20030904,0.733808757192023,"25,870,288.302",182868000,0,0.434314889290377,"34,757,913.96",285286000,0,-0.0320677273143666,"6,677,559.347",41165000,0,0.227646531574699,"46,453,611.96",375511000,0,0.756258828145207,"28,463,787.72",208607000,0,0,"137,029.8144",792845,0,0,"702,037.8145",9412200,0,-1.11707390896107,"1,080,978.347",10575100,0,0.435597371727248,0.851332744971245,0.555573068614379,0.438185364655436,-0.448679339552083,1.00000000000007,-0.999999999999979,0.999999999999979,19.44
