date,cba,cbaw,cbad,cbadiv,wbc,wbcw,wbcd,wbcdiv,anz,anzw,anzd,anzdiv,nab,nabw,nabd,nabdiv,mqg,mqgw,mqgd,mqgdiv,ben,benw,bend,bendiv,boq,boqw,boqd,boqdiv,aba,abaw,abad,abadiv,mkt
20000214,0.377348151,23881517384,1.99E+11,0,-0.747105428,19585645811,1.59E+11,0,-0.966296077,15514300742,1.63E+11,0,-1.722214571,30190238903,3.24E+11,0,2.46961859,4135497241,22476758000,0,2.208396345,330819119.4,4613436000,0,0.390911357,278045021.1,3500202000,0,1.47820122,66440483.2,884779000,0,-1.40906621
20000215,2.023780243,24369840113,1.99E+11,0,-1.036128663,19383834820,1.59E+11,0,-0.486575983,15439019184,1.63E+11,0,-0.089097032,30163220291,3.24E+11,0,1.21230826,4185925131,22476758000,0,0,330819119.4,4613436000,0,0.195806842,278584720.7,3500202000,0,2.904058178,68394961.7,884779000,0,0.958630323
20000216,-0.999003693,24127438551,1.99E+11,0,-1.334638163,19126766057,1.59E+11,0,0.486575983,15514300742,1.63E+11,0,-2.334344555,29497526989,3.24E+11,0,-1.007648614,4143890493,22476758000,0,-1.802009719,324913297.8,4613436000,0,-0.586718199,276959755.6,3500202000,0,-2.904058178,66440483.2,884779000,0,-0.053206367
20000217,-0.746964956,23427307756,1.99E+11,523428540,-2.33015996,18686367163,1.59E+11,0,-0.681948379,15408938059,1.63E+11,0,-1.214617293,29141441971,3.24E+11,0,3.389045741,4286798005,22476758000,0,1.002181241,328192092.9,4613436000,0,0,276959755.6,3500202000,0,0.299007519,66636913.2,884779000,0,-0.193965284
20000218,0.248662679,23485697112,1.99E+11,0,-0.789102599,18539444326,1.59E+11,0,-1.179928368,15228136325,1.63E+11,0,-0.67913035,28944198067,3.24E+11,0,-0.786742554,4253173714,22476758000,0,-1.002181241,324913297.8,4613436000,0,0.780300546,279130286.6,3500202000,0,0,66636913.2,884779000,0,-0.826507719
20000221,-1.366008724,23167037427,1.99E+11,0,0.493800054,18631294200,1.59E+11,0,-0.197885059,15198055200,1.63E+11,0,-0.737903283,28731413734,3.24E+11,0,0,4253173714,22476758000,0,1.402895135,329508931.5,4613436000,0,-0.604108655,277446658.5,3500202000,0,0,66636913.2,884779000,0,0.03514878
20000222,0.979249056,23396943843,1.99E+11,0,-0.493800054,18539444326,1.59E+11,0,-1.29677824,15002134157,1.63E+11,0,-1.092359396,28419260314,3.24E+11,0,-0.039384217,4251481388,22476758000,0,-0.197954535,328850512.2,4613436000,0,-0.176191891,276959755.6,3500202000,0,4.020318484,69373183.1,884779000,0,-0.57634259
20000223,0.443510137,23501096728,1.99E+11,0,0.789102599,18686367163,1.59E+11,0,-0.604217039,14911733290,1.63E+11,0,-0.651202825,28234867149,3.24E+11,0,0.432375614,4269977312,22476758000,0,0.197954535,329508931.5,4613436000,0,0.975347161,279669986.2,3500202000,0,-1.992882546,68004066,884779000,0,0.132285687
20000224,-0.658866093,23346672476,1.99E+11,0,-0.196929011,18649590252,1.59E+11,0,-1.321830944,14715969739,1.63E+11,0,0.45117614,28362477978,3.24E+11,0,-1.188307436,4219549422,22476758000,0,1.971214535,336066521.7,4613436000,0,-0.388628962,278584720.7,3500202000,0,3.116521917,68004066,884779000,2160730,-0.002768588
20000225,-0.145735131,23312556540,1.99E+11,0,3.29159236,19273688894,1.59E+11,0,3.608466686,15256800014,1.63E+11,0,3.928831216,29499021261,3.24E+11,0,-0.198651572,4211139076,22476758000,0,4.21034895,350511842.1,4613436000,0,-0.586718199,276959755.6,3500202000,0,0,68004066,884779000,0,0.374446885
